index,time,data
694,1597991049600728334,1891
695,1597991049600783525,1899
696,1597991049600829432,1898
697,1597991049600867302,1894
698,1597991049600917333,1891
699,1597991049644742831,1896
700,1597991049644829451,1898
701,1597991049644855600,1894
702,1597991049644908742,1896
703,1597991049645827777,1896
704,1597991049655584147,1894
705,1597991049696769636,1902
706,1597991049696844169,1896
707,1597991049696871339,1894
708,1597991049696902048,1894
709,1597991049740779800,1894
710,1597991049740838171,1891
711,1597991049740883335,1898
712,1597991049740940964,1906
713,1597991049740966816,1904
714,1597991049784739334,1893
715,1597991049784825693,1894
716,1597991049784877483,1901
717,1597991049784925530,1902
718,1597991049784943984,1906
719,1597991049828750613,1893
720,1597991049828806538,1896
721,1597991049828851027,1894
722,1597991049828873356,1893
723,1597991049829920349,1896
724,1597991049838777594,1894
725,1597991049880932909,1891
726,1597991049881037628,1896
727,1597991049881126930,1894
728,1597991049881157982,1902
729,1597991049924779644,1901
730,1597991049924838672,1894
731,1597991049924891513,1896
732,1597991049924929138,1896
733,1597991049924951869,1896
734,1597991049968792988,1898
735,1597991049968872880,1889
736,1597991049968908142,1898
737,1597991049968955272,1889
738,1597991049968987265,1906
740,1597991050016744484,1906
741,1597991050016858048,1893
742,1597991050016888290,1896
743,1597991050016919000,1891
744,1597991050060705079,1894
745,1597991050060786204,1896
746,1597991050060829418,1894
747,1597991050060877945,1896
748,1597991050060920420,1899
749,1597991050104721922,1896
750,1597991050104778342,1896
751,1597991050104794662,1899
752,1597991050104810389,1899
753,1597991050104848664,1896
754,1597991050148743193,1899
756,1597991050148829072,1894
757,1597991050148849820,1896
758,1597991050149921704,1896
759,1597991050159445757,1891
760,1597991050200711897,1894
761,1597991050200790753,1894
762,1597991050200814969,1894
763,1597991050200833052,1891
764,1597991050248739914,1898
765,1597991050248857096,1894
766,1597991050248900920,1896
767,1597991050248921933,1893
768,1597991050248939227,1899
769,1597991050296763603,1901
770,1597991050296830303,1894
771,1597991050296871719,1896
772,1597991050296889181,1896
773,1597991050296906182,1896
774,1597991050344747820,1896
775,1597991050344877716,1896
776,1597991050344907771,1904
777,1597991050344964651,1896
778,1597991050344992611,1901
779,1597991050345020256,1898
780,1597991050388783061,1893
781,1597991050388870886,1899
782,1597991050388907545,1894
783,1597991050388952323,1899
784,1597991050388968963,1894
785,1597991050398031841,1896
786,1597991050406724411,1894
787,1597991050448734265,1904
788,1597991050448825948,1899
789,1597991050448889670,1899
790,1597991050448910198,1901
791,1597991050496767989,1894
792,1597991050496830545,1896
793,1597991050496880884,1894
795,1597991050496908128,1891
796,1597991050540681029,1894
797,1597991050540748704,1899
798,1597991050540784559,1898
799,1597991050540811829,1896
800,1597991050540837009,1898
801,1597991050584799598,1889
802,1597991050584928543,1894
803,1597991050584978456,1898
804,1597991050585045147,1898
805,1597991050585125069,1894
806,1597991050632875917,1896
807,1597991050632998156,1898
808,1597991050633043286,1891
809,1597991050633089980,1898
810,1597991050633128202,1906
811,1597991050677018320,1891
812,1597991050677156270,1898
813,1597991050677213143,1896
814,1597991050677258150,1893
815,1597991050677305237,1896
816,1597991050724975747,1889
817,1597991050725109359,1896
818,1597991050725158843,1901
819,1597991050725205327,1899
820,1597991050725295586,1898
821,1597991050768859363,1896
822,1597991050769004755,1898
823,1597991050769061645,1896
824,1597991050769117080,1898
825,1597991050769179935,1896
826,1597991050812864972,1896
827,1597991050812992761,1894
828,1597991050813042049,1898
829,1597991050813090757,1891
830,1597991050813153180,1898
831,1597991050856861441,1889
832,1597991050856987786,1898
833,1597991050857033886,1893
834,1597991050857086002,1894
835,1597991050857157608,1901
836,1597991050900815417,1894
837,1597991050900943732,1894
838,1597991050901004258,1899
839,1597991050901052022,1891
840,1597991050901192377,1901
841,1597991050910960730,1894
842,1597991050952826216,1894
843,1597991050952978904,1896
844,1597991050953033080,1894
845,1597991050953102482,1894
846,1597991050996858301,1896
847,1597991050996980530,1894
848,1597991050997036942,1894
849,1597991050997090869,1893
850,1597991050997144138,1893
851,1597991051040799020,1896
852,1597991051040881089,1894
853,1597991051040911163,1896
854,1597991051040944209,1894
855,1597991051040973626,1891
856,1597991051088881539,1899
857,1597991051089029860,1901
858,1597991051089099282,1894
859,1597991051089160998,1896
860,1597991051089225073,1891
861,1597991051132805301,1893
862,1597991051132914407,1889
863,1597991051132963783,1899
