index,time,data
999,1598235561498952568,1901
1000,1598235561498983483,1899
1001,1598235561546939163,1901
1002,1598235561547035912,1899
1003,1598235561547072235,1902
1004,1598235561547108365,1899
1005,1598235561547144060,1899
1006,1598235561590843905,1901
1007,1598235561590962202,1898
1008,1598235561590996876,1901
1009,1598235561591031860,1906
1010,1598235561591065529,1901
1011,1598235561634854519,1907
1012,1598235561634944239,1899
1013,1598235561634986839,1901
1014,1598235561635024738,1902
1015,1598235561635060487,1901
1016,1598235561678863325,1899
1017,1598235561678991248,1894
1018,1598235561679031317,1902
1019,1598235561679062323,1899
1020,1598235561679091354,6000
1021,1598235561726878263,1901
1022,1598235561726971458,1901
1023,1598235561727017459,1896
1024,1598235561727061435,1901
1025,1598235561727109895,1896
1026,1598235561770981743,1901
1027,1598235561771152315,1901
1028,1598235561771289333,1902
1029,1598235561771366927,1896
1030,1598235561771430127,1901
1031,1598235561818833419,1901
1032,1598235561818949564,1896
1033,1598235561818992219,1902
1034,1598235561819028154,1901
1035,1598235561819065480,1902
1036,1598235561862773313,1902
1037,1598235561862879950,6000
1038,1598235561862928853,1896
1039,1598235561862970257,1899
1040,1598235561863014857,1901
1041,1598235561906769441,1899
1042,1598235561906872471,1901
1043,1598235561906918301,1901
1044,1598235561906955677,1901
1045,1598235561908027055,1902
1046,1598235561917676618,1896
1047,1598235561962944037,1901
1048,1598235561963102572,1901
1049,1598235561999731779,1902
1050,1598235561999768642,1902
1051,1598235562006872525,1907
1052,1598235562006949633,1902
1053,1598235562006975283,1896
1054,1598235562006998901,6000
1055,1598235562007024398,1899
1056,1598235562054849841,6000
1057,1598235562054979004,1899
1058,1598235562055026446,1896
1059,1598235562055070654,1901
1060,1598235562055116718,1901
1061,1598235562102831851,1901
1062,1598235562102963279,1902
1063,1598235562103029632,1899
1064,1598235562103096637,1899
1065,1598235562103156039,1902
1066,1598235562103215993,6000
1067,1598235562150797897,1909
1068,1598235562150898191,1901
